class_size,pythonjava_skill,js_skill,c_skill,cpp_skill,php_skill,html_skill,sql_skill,bashunix_skill,free_times
few,uniform,uniform,uniform,uniform,uniform,normal,uniform,triangular,uniform
many,triangular,normal,normal,triangular,triangular,uniform,uniform,uniform,normal
2,uniform,triangular,normal,normal,normal,triangular,triangular,normal,triangular
2,normal,triangular,triangular,uniform,uniform,uniform,normal,triangular,normal
1,triangular,normal,triangular,uniform,uniform,normal,triangular,normal,triangular
1,normal,triangular,uniform,triangular,triangular,triangular,triangular,triangular,uniform
many,triangular,uniform,triangular,uniform,normal,triangular,normal,uniform,uniform
many,normal,uniform,uniform,normal,normal,uniform,uniform,normal,triangular
few,uniform,normal,normal,triangular,triangular,normal,normal,normal,triangular
1,uniform,uniform,triangular,normal,triangular,normal,normal,uniform,normal
2,triangular,normal,uniform,normal,uniform,triangular,normal,triangular,uniform
few,normal,uniform,normal,triangular,uniform,uniform,triangular,uniform,triangular
few,triangular,triangular,triangular,triangular,normal,triangular,uniform,uniform,normal
2,normal,uniform,normal,uniform,triangular,normal,uniform,normal,uniform
many,uniform,triangular,normal,normal,normal,normal,triangular,triangular,triangular
2,uniform,normal,uniform,triangular,normal,uniform,triangular,uniform,normal
1,normal,normal,normal,normal,normal,uniform,uniform,normal,normal
many,normal,normal,normal,normal,uniform,uniform,normal,normal,uniform
few,normal,normal,normal,normal,normal,normal,normal,normal,normal
class_size,pythonjava_skill,js_skill,c_skill,cpp_skill,php_skill,html_skill,sql_skill,bashunix_skill,free_times
